Credit,Date,Average Price,Closing Value
California LCFS Credit,12/7/2021,$150.67 ,$150.50 
Oregon CFP Credit,12/7/2021,$124.00 ,$124.00 
California LCFS Credit,12/6/2021,$150.00 ,$150.00 
Oregon CFP Credit,12/6/2021,$124.00 ,$124.00 
California LCFS Credit,12/3/2021,$146.00 ,$146.00 
Oregon CFP Credit,12/3/2021,$124.00 ,$124.00 
Oregon CFP Credit,12/2/2021,$124.00 ,$124.00 
California LCFS Credit,12/2/2021,$142.50 ,$142.50 
California LCFS Credit,12/1/2021,$142.50 ,$142.50 
Oregon CFP Credit,12/1/2021,$124.00 ,$124.00 
Oregon CFP Credit,11/30/2021,$124.00 ,$124.00 
California LCFS Credit,11/30/2021,$142.50 ,$142.50 
Oregon CFP Credit,11/23/2021,$124.00 ,$124.00 
California LCFS Credit,11/23/2021,$142.00 ,$142.00 
Oregon CFP Credit,11/22/2021,$124.00 ,$124.00 
California LCFS Credit,11/22/2021,$142.00 ,$142.00 
Oregon CFP Credit,11/19/2021,$124.00 ,$124.00 
California LCFS Credit,11/19/2021,$145.50 ,$143.50 
Oregon CFP Credit,11/18/2021,$124.00 ,$124.00 
California LCFS Credit,11/18/2021,$145.50 ,$143.50 
Oregon CFP Credit,11/17/2021,$124.00 ,$124.00 
California LCFS Credit,11/17/2021,$146.50 ,$146.50 
California LCFS Credit,11/16/2021,$146.50 ,$146.50 
Oregon CFP Credit,11/16/2021,$124.00 ,$124.00 
California LCFS Credit,11/15/2021,$146.50 ,$146.50 
Oregon CFP Credit,11/15/2021,$124.00 ,$124.00 
California LCFS Credit,11/12/2021,$147.00 ,$147.00 
Oregon CFP Credit,11/12/2021,$124.00 ,$124.00 
California LCFS Credit,11/11/2021,$149.00 ,$147.50 
Oregon CFP Credit,11/11/2021,$124.00 ,$124.00 
California LCFS Credit,11/10/2021,$151.00 ,$151.00 
Oregon CFP Credit,11/10/2021,$124.00 ,$124.00 
Oregon CFP Credit,11/8/2021,$125.00 ,$125.00 
California LCFS Credit,11/8/2021,$153.00 ,$153.00 
Oregon CFP Credit,11/5/2021,$125.00 ,$125.00 
California LCFS Credit,11/5/2021,$154.00 ,$154.00 
Oregon CFP Credit,11/4/2021,$125.00 ,$125.00 
California LCFS Credit,11/4/2021,$155.00 ,$155.00 
California LCFS Credit,11/3/2021,$157.00 ,$157.00 
Oregon CFP Credit,11/3/2021,$125.00 ,$125.00 
California LCFS Credit,11/2/2021,$159.00 ,$159.00 
Oregon CFP Credit,11/2/2021,$125.00 ,$125.00 
Oregon CFP Credit,11/1/2021,$125.00 ,$125.00 
